state,yearOfLoss,floodEvent,event_type,state,yearOfLoss,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,totalPaid,precip_mm,wind_max_m_s,temp_mean_c
OH,2025,Central U.S. April Flooding,Flood,OH,2025,60816.28,0.0,60816.28,,,
FL,2000,Flooding,Flood,FL,2000,50392.81,2941.53,53334.34,32.8,33.5,27.39262295081968
PA,1996,Flooding,Flood,PA,1996,6222.12,2281.45,8503.57,86.4,37.2,14.362295081967199
FL,2024,Hurricane Helene,Hurricane,FL,2024,127073.42,25000.0,152073.41999999998,45.2,63.6,28.001912568306004
NY,2012,Hurricane Sandy,Hurricane,NY,2012,100220.11,0.0,100220.11,48.8,39.7,14.591530054644808
SC,1989,Hurricane Hugo,Hurricane,SC,1989,2462.81,0.0,2462.81,78.5,70.7,23.115616438356138
LA,1993,Flooding,Flood,LA,1993,6344.84,9662.96,16007.8,67.7,39.0,24.364657534246575
LA,1988,Flooding,Flood,LA,1988,3481.26,3669.72,7150.98,120.8,32.9,24.16830601092897
FL,1985,Hurricane Elena,Hurricane,FL,1985,7519.08,11729.13,19248.21,25.6,33.4,27.62438356164381
VT,2023,Vermont/New York Flooding,Flood,VT,2023,139655.7,0.0,139655.7,132.8,32.9,11.49123287671233
NY,1991,"The ""Halloween"" Storm",Storm,NY,1991,0.0,0.0,0.0,44.6,31.0,14.399999999999993
MS,2005,Hurricane Katrina,Hurricane,MS,2005,4700.0,0.0,4700.0,82.8,59.6,24.039999999999996
LA,2005,Hurricane Katrina,Hurricane,LA,2005,52959.2,22100.0,75059.2,63.7,47.6,25.748767123287685
TX,2017,Hurricane Harvey,Hurricane,TX,2017,5170.62,21452.92,26623.539999999997,115.4,53.5,26.819726027397266
LA,2008,Hurricane Ike,Hurricane,LA,2008,0.0,0.0,0.0,124.3,61.5,25.34726775956283
LA,2005,Hurricane Katrina,Hurricane,LA,2005,50000.0,20000.0,70000.0,63.7,47.6,25.748767123287685
AR,2008,March storm,Storm,AR,2008,41708.37,0.0,41708.37,159.5,39.8,21.836065573770483
LA,1995,Flooding,Flood,LA,1995,1460.05,0.0,1460.05,70.1,33.8,24.724109589041113
TX,1998,Flooding,Flood,TX,1998,3530.43,710.01,4240.44,120.3,41.8,25.954794520547935
MS,2005,Hurricane Katrina,Hurricane,MS,2005,157200.0,31000.0,188200.0,82.8,59.6,24.039999999999996
LA,2005,Hurricane Katrina,Hurricane,LA,2005,20000.0,8000.0,28000.0,63.7,47.6,25.748767123287685
LA,2016,Late winter severe storms,Storm,LA,2016,0.0,0.0,0.0,233.5,35.3,25.598087431693997
FL,2023,Hurricane Idalia,Hurricane,FL,2023,45533.62,0.0,45533.62,29.9,37.4,29.091506849315042
GA,2024,Hurricane Helene,Hurricane,GA,2024,3482.04,0.0,3482.04,0.0,0.0,0.0
FL,1988,Flooding,Flood,FL,1988,0.0,0.0,0.0,48.7,37.1,26.840437158469943
LA,1983,Flooding,Flood,LA,1983,676.45,64.0,740.45,107.7,36.1,23.015890410958903
AL,2004,Hurricane Ivan,Hurricane,AL,2004,35655.16,0.0,35655.16,126.7,54.8,23.34016393442623
NJ,2012,Hurricane Sandy,Hurricane,NJ,2012,6603.47,0.0,6603.47,0.0,0.0,0.0
FL,1999,Hurricane Irene,Hurricane,FL,1999,28569.23,34553.01,63122.240000000005,110.3,35.5,27.3413698630137
MO,2017,Late spring severe storms,Storm,MO,2017,0.0,0.0,0.0,77.7,35.9,20.50904109589041
LA,1981,Flooding,Flood,LA,1981,329.57,512.72,842.29,41.9,34.1,24.550136986301368
FL,2022,Hurricane Ian,Hurricane,FL,2022,0.0,0.0,0.0,208.8,76.6,28.4682191780822
FL,1999,Hurricane Irene,Hurricane,FL,1999,0.0,0.0,0.0,110.3,35.5,27.3413698630137
VA,1988,Flooding,Flood,VA,1988,1296.89,0.0,1296.89,51.3,36.6,19.637704918032803
NY,2012,Hurricane Sandy,Hurricane,NY,2012,38689.97,0.0,38689.97,48.8,39.7,14.591530054644808
NJ,2011,Hurricane Irene,Hurricane,NJ,2011,63332.81,0.0,63332.81,0.0,0.0,0.0
